,method,dim,train %,test %,train time [s]
0,POD + RBF,14,0.10094098443062564,0.10111494947935677,0.2380220890045166
1,-,-,-,-,-
2,POD + GPR,14,0.10146892702199481,0.10424001193690113,0.23711133003234863
3,-,-,-,-,-
4,POD + ANN,14,0.11153834659350574,0.11645942527720274,26.11420702934265
5,-,-,-,-,-
