,method,dim,train %,test %,train time [s]
0,POD + RBF,14,0.1006504162425822,0.10110698702876916,0.37407946586608887
1,POD + GPR,14,0.10118422155775261,0.10413673082984767,0.27690768241882324
2,POD + ANN,14,0.25726639611360297,0.25148188131146676,9.288156032562256
3,-,-,-,-,-
