,method,dim,train %,test %,train time [s]
0,POD + RBF,6,0.09048245656875169,0.0893049076089411,0.2317662239074707
1,-,-,-,-,-
2,POD + GPR,6,0.09048277459270108,0.08929667654723807,0.22453856468200684
3,-,-,-,-,-
4,POD + ANN,6,0.11303675948225471,0.11196794335965268,26.939170837402344
5,-,-,-,-,-
